State,Areaname,2003Rural-urbanContinuumCode,2003UrbanInfluenceCode,2013Rural-urbanContinuumCode,2013UrbanInfluenceCode,"Lessthanahighschooldiploma,1970","Highschooldiplomaonly,1970","Percentofadultswithlessthanahighschooldiploma,1970","Percentofadultswithlessthanahighschooldiploma,2010-2014","Percentofadultswithahighschooldiplomaonly,2010-2014","Percentofadultscompletingsomecollegeorassociate'sdegree,2010-2014","Percentofadultswithabachelor'sdegreeorhigher,2010-2014"
CA,MaderaCounty,3,2,3,2,13151,5616,58.4,30.5,23.6,32.3,13.5
CA,MarinCounty,1,1,1,1,24952,36764,20.9,7.5,12.2,25.5,54.8
CA,MariposaCounty,8,7,8,7,1670,1204,44.5,11,28,38.5,22.4
CA,MendocinoCounty,4,5,4,5,12742,10175,43.1,14.1,26.4,36.9,22.5
CA,MercedCounty,3,2,2,2,25247,15455,49.3,32,25.2,29.8,13
CA,ModocCounty,6,6,6,6,1769,1730,40.1,13.4,26.9,41.2,18.5
CA,MonoCounty,7,9,7,11,723,866,31.1,15.7,17.4,33.7,33.3
CA,MontereyCounty,2,2,2,2,44960,36925,37.5,28.8,21.1,27.1,23.1
CA,NapaCounty,3,2,3,2,16951,15855,36.6,17.2,19.2,31.7,31.9
CA,NevadaCounty,4,3,4,3,6445,5719,39,5.7,20.8,40.7,32.8
CA,OrangeCounty,1,1,1,1,216580,256847,29.5,16,17.8,28.9,37.3
CA,PlacerCounty,1,1,1,1,16171,16075,36.9,6,19.8,38.5,35.7
CA,PlumasCounty,7,12,7,12,2783,2602,39.4,10.2,23.5,43.7,22.7
CA,RiversideCounty,1,1,1,1,105962,82404,41.6,20.2,25.5,33.5,20.8
CA,SacramentoCounty,1,1,1,1,113388,118989,34.2,13.8,22.1,35.8,28.2
CA,SanBenitoCounty,1,1,1,1,5333,2372,55.9,22.1,23.7,35.3,19
CA,SanBernardinoCounty,1,1,1,1,154036,117009,43.3,21.7,26.3,33.3,18.8
CA,SanDiegoCounty,1,1,1,1,239165,240208,34.7,14.2,19,31.7,35.1
CA,SanFranciscoCounty,1,1,1,1,175382,134770,38.2,13.3,13.1,20.7,52.9
CA,SanJoaquinCounty,2,2,2,2,79981,45996,50.6,22.4,26.2,33.4,18.1
CA,SanLuisObispoCounty,3,2,2,2,23256,18246,40.2,10.4,20.2,37.3,32.1
CA,SanMateoCounty,1,1,1,1,90291,112366,28.5,11.5,16.8,26.7,45
CA,SantaBarbaraCounty,2,2,2,2,39195,46726,28.7,20.7,17.8,30.1,31.4
CA,SantaClaraCounty,1,1,1,1,168911,172084,31,13.2,15.4,24,47.3
CA,SantaCruzCounty,2,2,2,2,26802,23113,36.9,14.5,15.6,32.4,37.5
CA,ShastaCounty,3,2,3,2,17506,14513,41.1,11.3,25.8,43.7,19.1
CA,SierraCounty,8,7,8,7,626,541,41.7,9.9,32.8,38.4,19
CA,SiskiyouCounty,7,11,6,6,8418,7038,43.5,11.2,26,38.8,24
CA,SolanoCounty,2,2,2,2,31409,33040,37.3,12.5,24.1,39.2,24.3
CA,SonomaCounty,2,2,2,2,41844,40497,36.4,13.2,20.1,34.2,32.6
CA,StanislausCounty,2,2,2,2,52093,30844,49.6,22.8,28.6,32.2,16.4
CA,SutterCounty,3,2,3,2,9490,6923,42.7,21.6,24.4,35.4,18.5
CA,TehamaCounty,4,5,4,5,7328,6037,44.2,17.9,30.3,37.7,14.1
CA,TrinityCounty,8,6,8,6,1930,1435,43.3,9.3,27.7,40.9,22
CA,TulareCounty,2,2,2,2,54916,24610,55.8,32,25,29.8,13.3
CA,TuolumneCounty,4,5,4,5,5624,4940,41.2,10.4,28.7,41.1,19.8
CA,VenturaCounty,2,2,2,2,68362,65439,36.2,17,19,32.4,31.6
CA,YoloCounty,1,1,1,1,17135,13142,38.4,15,19.4,27.3,38.3
CA,YubaCounty,3,2,3,2,9313,7394,43.4,20.4,25.5,39.9,14.2
CO,Colorado,,,,,411837,392787,36.1,9.6,22,30.9,37.5
CO,AdamsCounty,1,1,1,1,32417,35821,37.3,18.2,29.3,30.8,21.6
CO,AlamosaCounty,7,11,7,11,2066,1528,40.2,15.4,26,34.4,24.1
CO,ArapahoeCounty,1,1,1,1,19703,29882,23.9,8.2,20.6,31.8,39.4
CO,ArchuletaCounty,7,10,7,10,744,436,54.2,7.7,26.9,30,35.3
CO,BacaCounty,9,12,9,12,1753,994,53.7,14.5,32.4,37,16.1
CO,BentCounty,7,11,7,12,2205,993,57.5,21.6,41.5,29.4,7.5
CO,BoulderCounty,2,2,2,2,15345,20226,24.2,6,12.8,22.9,58.2
CO,BroomfieldCounty,1,1,1,1,,,,5.2,15.2,30.2,49.5
CO,ChaffeeCounty,7,11,7,11,2274,2193,41.6,9.5,27.9,28.4,34.2
CO,CheyenneCounty,9,12,9,12,684,554,48.9,11.8,32.3,34.1,21.8
CO,ClearCreekCounty,1,1,1,1,943,982,35.5,4,21.6,33.7,40.8
CO,ConejosCounty,9,12,9,12,2139,979,59.4,16,33.8,30,20.2
CO,CostillaCounty,9,12,9,12,939,363,61,24.5,27.9,29.5,18.2
CO,CrowleyCounty,8,7,8,7,1079,522,57.7,24.5,36.9,28.1,10.5
CO,CusterCounty,8,7,8,7,306,235,44.5,4.4,22.6,38.2,34.8
CO,DeltaCounty,6,6,6,6,4845,2921,50.9,12,36.3,32.8,18.9
CO,DenverCounty,1,1,1,1,110353,91368,38.5,14.4,18.1,23.7,43.7
CO,DoloresCounty,9,10,9,12,513,218,60.4,11.8,35.1,31.4,21.7
CO,DouglasCounty,1,1,1,1,1278,1593,28.5,2.6,13.6,27.9,55.9
CO,EagleCounty,5,8,5,8,1605,1200,43.4,10.1,18.3,24.3,47.3
CO,ElbertCounty,1,1,1,1,1034,801,45.2,4.2,28.2,38.1,29.5
CO,ElPasoCounty,2,2,2,2,29143,42697,27.1,6.5,21.1,37.1,35.2
CO,FremontCounty,4,5,4,5,6890,4450,50.9,15.7,36.4,32,15.9
CO,GarfieldCounty,5,9,5,8,3446,2987,41.4,14.7,24.3,31.7,29.3
CO,GilpinCounty,1,1,1,1,259,330,35.1,5.4,21.9,43.2,29.5
CO,GrandCounty,8,4,7,10,943,841,40.3,5,26.5,32.2,36.3
CO,GunnisonCounty,7,11,7,11,910,788,30.8,5.5,16.9,23.3,54.4
CO,HinsdaleCounty,9,12,9,12,41,36,48.8,5.1,18.9,34.7,41.3
CO,HuerfanoCounty,6,6,6,6,2403,959,61,14.7,28.9,27.5,28.9
CO,JacksonCounty,9,12,9,10,369,352,39.5,15.5,35.9,31.2,17.5
CO,JeffersonCounty,1,1,1,1,31007,45520,25.4,6.2,21.4,31.2,41.1
CO,KiowaCounty,9,12,9,12,512,421,46.4,8.8,30.3,41.5,19.4
CO,KitCarsonCounty,7,11,7,11,1974,1658,46.4,16.8,33.1,36.2,13.9
CO,LakeCounty,7,8,6,4,1738,1517,43.9,7.4,30.1,32.2,30.3
